160414_28_Snip_TankSortChirag.csv
,f0,N=1000,,,,
,FSL,FSL-low,FSL-high,StdDev,,
0.0,28.064012530000483,28.064012530000003,28.064012530000962,4.79856334817528E-13,,
1.0,52.62994766000115,52.62994766,52.6299476600023,1.1516552035620673E-12,,
5.0,53.88426780999933,53.88426780999866,53.88426781,6.682443773755205E-13,,
10.0,54.13770675999904,54.13770675999808,54.13770676,9.59712669635056E-13,,
15.0,56.947296620890555,56.605195649610685,57.289397592170424,0.3421009712798663,,
20.0,57.48833727821002,56.63581212641189,58.340862430008144,0.8525251517981266,,
25.0,56.83366916711421,55.23012073078477,58.43721760344365,1.6035484363294377,,
30.0,56.65083466307807,54.238275183544566,59.06339414261158,2.4125594795335057,,
35.0,55.75056120234395,53.12322586580894,58.377896538878964,2.62733533653501,,
40.0,53.861157994432084,48.99697462909313,58.725341359771036,4.86418336533895,,
45.0,51.80088226954197,45.01509218172245,58.58667235736149,6.785790087819523,,
50.0,48.10183672097402,39.81608213471702,56.38759130723102,8.285754586257003,,
55.0,43.87857885161432,34.19152905851671,53.565628644711936,9.687049793097616,,
60.0,40.42114632645582,30.589571095890417,50.25272155702122,9.831575230565402,,
65.0,36.6952028260059,27.474397440905065,45.91600821110673,9.22080538510083,,
70.0,33.374737191641,23.866925161730542,42.882549221551464,9.507812029910461,,
75.0,30.290534286689958,21.088317906902766,39.49275066647715,9.20221637978719,,
80.0,28.118081618952566,19.65297908135153,36.5831841565536,8.465102537601037,,
85.0,25.304061926044884,16.820072884764492,33.788050967325276,8.483989041280392,,
90.0,24.152123940240298,16.16607661159965,32.138171268880946,7.98604732864065,,
95.0,22.294371834101696,14.315263565272534,30.273480102930858,7.979108268829163,,
100.0,20.74509054518943,13.052584592210984,28.437596498167878,7.692505952978446,,
105.0,19.62675791869608,11.965016398578728,27.28849943881343,7.661741520117351,,
110.0,18.38742983055688,11.136472863758572,25.63838679735519,7.250956966798308,,
115.0,17.468277818206175,10.153646543344456,24.782909093067893,7.3146312748617195,,
120.0,16.4827146476796,9.455479426815726,23.509949868543472,7.027235220863874,,
125.0,15.673456181440981,8.71403536681073,22.632876996071232,6.95942081463025,,
130.0,14.99968635859057,8.445694880928654,21.553677836252483,6.553991477661915,,
135.0,14.060377459815484,7.494130685093393,20.626624234537577,6.566246774722091,,
140.0,12.992457369701949,6.700063899341985,19.284850840061914,6.292393470359964,,
145.0,12.946860141407459,6.845233844823668,19.04848643799125,6.101626296583791,,
150.0,12.308755886492635,6.102798692145609,18.514713080839662,6.205957194347026,,
