170414_180_Snip_TankSortChirag.csv
,f1,N=1000,,,,
,FSL,FSL-low,FSL-high,StdDev,,
0.0,21.176338200000068,21.1763382,21.176338200000135,6.75353360113558E-14,,
1.0,21.89064026000025,21.89064026,21.8906402600005,2.488143958313108E-13,,
5.0,22.17078209,22.17078209,22.17078209,0.0,,
10.0,22.311687470000024,22.311687470000003,22.311687470000045,2.1326948214112358E-14,,
15.0,22.296972275320016,22.253748289365998,22.340196261274034,0.04322398595401815,,
20.0,22.30086946548012,22.170797771164835,22.430941159795402,0.13007169431528284,,
25.0,22.286309957820016,22.121392367706697,22.451227547933335,0.16491759011331739,,
30.0,22.5048823356,22.266192967635554,22.74357170356445,0.23868936796444906,,
35.0,22.314036607790033,22.06178464073866,22.566288574841405,0.2522519670513717,,
40.0,22.164886474689997,21.89955118208541,22.430221767294583,0.2653352926045854,,
45.0,22.335361242480037,21.870824098971774,22.7998983859883,0.4645371435082625,,
50.0,22.207920366029498,21.74953612732054,22.666304604738457,0.45838423870895784,,
55.0,22.016176652470065,21.23130057337888,22.80105273156125,0.7848760790911831,,
60.0,21.752969223015477,20.683653864855337,22.822284581175616,1.0693153581601398,,
65.0,21.573393035654338,19.883899106780056,23.26288696452862,1.68949392887428,,
70.0,21.34487366554431,19.392656515163218,23.2970908159254,1.95221715038109,,
75.0,21.021256725136755,18.65752922012155,23.38498423015196,2.363727505015205,,
80.0,20.453394588837778,17.125843731231175,23.78094544644438,3.3275508576066017,,
85.0,20.018989406332476,16.3506461926924,23.687332619972555,3.668343213640078,,
90.0,19.5743925367868,15.533378208862622,23.615406864710977,4.041014327924178,,
95.0,19.138138897089355,14.843614675992146,23.432663118186564,4.294524221097208,,
100.0,18.60359956465872,13.876932399612246,23.330266729705194,4.726667165046473,,
105.0,17.90773873709711,12.842982179850086,22.97249529434413,5.064756557247023,,
110.0,17.36908657059927,12.05378812596262,22.684385015235918,5.315298444636648,,
115.0,16.730480527962705,11.24643284997104,22.21452820595437,5.484047677991666,,
120.0,15.97486171444695,10.314082361028401,21.6356410678655,5.660779353418549,,
125.0,15.281696881917014,9.458367313388408,21.10502645044562,5.8233295685286075,,
130.0,14.780821343951818,9.069679221795834,20.4919634661078,5.711142122155983,,
135.0,13.964404259642524,8.084279315522853,19.844529203762196,5.880124944119672,,
140.0,13.608929169823158,7.8043371925492036,19.413521147097114,5.8045919772739545,,
145.0,12.946779931648658,7.207274715340322,18.686285147956994,5.739505216308336,,
150.0,12.496392147672493,6.594664609609207,18.39811968573578,5.901727538063286,,
