070314_236_Snip_TankSortChirag.csv
,f0,N=1000,,,,
,FSL,FSL-low,FSL-high,StdDev,,
0.0,21.09432219999986,21.094322199999716,21.0943222,1.4217965476074904E-13,,
1.0,21.680593490000252,21.68059349,21.680593490000504,2.5236888720032957E-13,,
5.0,21.93546295000015,21.93546295,21.9354629500003,1.492886374987865E-13,,
10.0,22.005796429999723,22.005796429999446,22.00579643,2.772503267834606E-13,,
15.0,21.998060224079772,21.974894308987096,22.021226139172448,0.023165915092677486,,
20.0,22.01458406429992,21.908122484876046,22.121045643723797,0.10646157942387656,,
25.0,21.98645353334,21.84925125331882,22.123655813361182,0.13720228002118204,,
30.0,22.149678944920055,21.98449473006455,22.31486315977556,0.16518421485550439,,
35.0,22.006721019750014,21.801540142485752,22.211901897014275,0.20518087726426276,,
40.0,21.853687286930093,21.62389626677111,22.083478307089077,0.22979102015898467,,
45.0,21.827412128060114,21.42296850017554,22.23185575594469,0.4044436278845768,,
50.0,21.88915721430114,21.32022209504684,22.458092333555438,0.5689351192542971,,
55.0,21.721312524828374,21.19548903259767,22.247136017059077,0.5258234922307047,,
60.0,21.517264135082186,20.529523393826285,22.505004876338088,0.9877407412559001,,
65.0,21.412564016733402,20.10627390887651,22.718854124590294,1.3062901078568907,,
70.0,21.19658172025601,19.576179015344596,22.816984425167423,1.620402704911413,,
75.0,20.862588846804243,18.552888251191405,23.17228944241708,2.3097005956128367,,
80.0,20.33082773017716,17.339705780861046,23.321949679493272,2.991121949316114,,
85.0,19.973989578944575,16.388400163805176,23.559578994083974,3.5855894151393986,,
90.0,19.423490228584615,15.496397072916505,23.350583384252726,3.927093155668111,,
95.0,18.734798252364783,14.209210385485166,23.2603861192444,4.525587866879617,,
100.0,18.53388141554533,13.997544015345092,23.07021881574557,4.53633740020024,,
105.0,18.087120538721628,13.185410896534197,22.98883018090906,4.9017096421874315,,
110.0,17.155812753086234,11.783109952777195,22.528515553395273,5.37270280030904,,
115.0,16.393062834373268,10.808029615089845,21.978096053656692,5.585033219283423,,
120.0,15.96035564074893,10.31151135294316,21.6091999285547,5.64884428780577,,
125.0,15.442476319964012,9.656182022242353,21.22877061768567,5.786294297721659,,
130.0,14.814566748868987,8.951076987141782,20.678056510596193,5.863489761727205,,
135.0,14.413145425711026,8.60936577777435,20.2169250736477,5.8037796479366754,,
140.0,13.74547646961152,7.989456828098484,19.501496111124556,5.756019641513036,,
145.0,13.225968867586856,7.450390905045373,19.001546830128337,5.775577962541482,,
150.0,12.942800650635077,7.25519256316957,18.630408738100584,5.687608087465507,,
